"","Enroll_White","Enroll_Black","Enroll_Hisp","Enroll_Asian","Enroll_Women","Avg_Age","Avg_Fam_Inc","Total_enroll","Grad_Rate"
"1",-0.22615827216755,-0.0707057567549562,-0.75304977840913,-0.278290746856503,0.354291594693419,0.0317090504549185,-0.186780381870253,4.60579036064963,-1.07006249908198
"2",-0.520336793517085,-0.615739645880091,-0.786026413624215,2.98489487014828,-0.0526928226289484,-0.686528363964307,0.824656862758033,0.304943552082537,1.02940400662543
"3",-0.0681595778365979,-0.427037227325343,-1.10230232409617,-0.96380324774221,-0.00631283205090044,-0.508192465760145,0.695035450630899,-0.440550771444333,0.374230686536431
"4",0.168838463659831,-0.353280444438462,-0.597160230119636,0.715276217127044,0.662718532037436,-0.924834781473837,0.867828901003842,0.144014827489889,0.277556223305521
"5",0.964850933193867,-0.0582533128909373,-0.594162354190992,0.313466047868992,0.395453836331436,-1.1737906838661,1.53306490555471,-0.157593311978452,1.20528164455154
"6",1.25827707980849,1.08258212111264,-0.0455510592491203,-0.860306688993924,-0.489824233827047,-0.438229395646194,0.126477614097525,-0.498101441166207,-0.0345974651991029
"8",2.5937422342725,-0.22300872401488,-0.29362529234442,-0.402486617354446,2.36312493660511,-0.125814788940854,-0.0232262406789518,-0.570572654890049,-0.94077496391775
"9",0.632301300363958,-0.196188075692377,0.0803597297539323,0.168570865621391,2.26978520556678,-1.10898041488358,1.35771404323163,1.01260363903299,0.742874874639839
"11",-1.95662016245893,-0.691412189361436,0.978973039365004,-1.18297243097387,-0.279375026579156,1.31769991648195,-1.14541987281762,0.209025769212747,-0.0223675632241084
"12",1.57653159267513,-0.621486927663484,-0.393304666971837,0.626390937260869,0.565320551823535,-0.922918288993277,1.45407715984562,-0.372342570292482,-0.271042236715665
"13",-0.917590653549194,-0.0534639114047762,0.600491203373685,-0.134613171182411,-0.236473535294462,1.31769991648195,-1.14541987281762,-0.101108395399575,-0.739855145757124
"14",0.185390707827835,-0.0975264050774585,-0.573926691672644,-0.879788394170072,-1.74440297896323,-0.404305810805739,0.305592888883708,-0.0941809999700903,-0.0846818256681283
"15",-0.123835308219886,-0.514204334373475,1.2232999275495,-0.0737328425069491,-1.36408705622324,-0.252191227155356,-0.830741916391206,-0.469858982876769,-0.55232998214054
"16",-0.238196267926099,-0.358069845924623,-0.830994552553877,2.3286049270268,0.967666970088098,-1.10800858453737,0.838047863082469,-0.0808590856826195,0.793541611393388
"17",0.561578075282484,0.310530601543468,0.229504057203977,-0.0944321542566062,-1.06087786781926,0.388387494993742,-0.588188292778294,-0.494371305165715,1.21634679395749
"18",1.61339795468568,-0.539109222101513,-0.350584934988658,-0.779944655142313,0.383279088804699,-0.54236325009348,0.920047775257958,-0.417104202298384,-0.94077496391775
"19",0.496873848080284,-0.558266828046157,-1.03485011570168,-0.03963985844869,-0.368076758559672,-1.43826077124651,1.13017810554875,-0.571105531461548,0.0300463023830114
"20",-0.424032827448695,-0.508457052590082,-0.838489242375487,1.01115461448979,-0.897968150913865,-0.929056701935532,0.512050083719127,-0.521548010312156,1.33515155600029
"21",-0.452623067375249,0.792344391051276,1.65274565432777,-0.474325405191492,-0.0451560741600155,1.31769991648195,-1.14541987281762,0.191973718924784,-1.09685180817006
"22",-1.54883305613809,-0.413626903164092,1.30424257762289,-1.05390613418189,-0.483446985122565,1.31769991648195,-1.14541987281762,0.103516208055977,-1.12538824611172
"23",-0.783667950735339,-0.490257326942669,1.35895381332064,-0.277073140282994,-0.213283540005438,1.31769991648195,-1.14541987281762,0.0933915531974996,-0.858077531515405
"25",0.256866307644219,0.0480714001018393,-0.900695167894852,-0.491371897220621,-1.70150148767854,-0.596911523363653,1.29830944970386,-0.424564474299368,0.783641214556487
"26",-0.623412132199659,0.505938182178842,2.26431234377117,-0.85056583640585,-0.423732747253329,1.31769991648195,-1.14541987281762,0.390203803522351,-0.916897536252284
"27",-0.427042326388333,-0.36956440949141,0.338926528599487,-0.889529246758146,-0.404021251257659,1.31769991648195,-1.14541987281762,-0.132548113118006,-1.04851457655461
"28",-0.646735748981847,0.231026536873194,-1.35862071599524,-0.242980156224735,0.745622765195695,1.00726159047855,-1.14846480686264,-0.62972195432642,-0.642015929957168
"29",-0.351804852897403,-0.30921795076578,1.34846124757039,0.865041825668682,-0.226617787296627,1.31769991648195,-1.14541987281762,-0.429360363442858,-0.385770364766805
"31",-0.999599499654308,4.49838326104274,-0.926926582270488,0.956362318681875,1.29058765448775,-0.808570415116839,0.0776795178041999,-0.649971264043375,2.94192772500077
